rank,handle,objective_key,objective_canonical,objective_tier,supplement_pdf,size_class,cohort,status,active_roster,oof_covered_videos,graded_total,graded_n_in_window,window_start,window_end,k,calls_C,hits_H,top_avg_x,bottom_avg_x,ratio_R,hero_form,send_check_verdict,within_creator_spearman,exclusion,p2_public,p2_last_post,p2_last_post_age_d,p2_post_corpus_aged_30_100,p2_post_corpus_lt30,p2_cost_to_n12,p2_cost_fill_to_40,p2_fill_shortfall,p2_dormant,p2_drop_reason
1,itsjuliaflood,fashion,Fashion,PREDICT,yes,small,cohort_1,inactive,False,52,52,40,2026-04-29,2026-05-18,4,8,5,1.804,0.837,2.156,averages,STRONG,0.4901,,True,2026-07-20,0,98,78,0.0,0.0,0,False,
2,raeshelgoesglobal,travel,Travel,PREDICT,yes,small,cohort_2,inactive,False,57,57,40,2026-05-17,2026-05-29,4,8,4,2.025,1.031,1.964,averages,STRONG,0.4846,,True,2026-07-16,4,73,44,0.0,0.0,0,False,
3,.dylansnyder,fitness,Fitness/Wellness,PREDICT,yes,mid,cohort_1,inactive,False,65,65,40,2026-05-13,2026-05-19,4,8,6,1.14,0.452,2.519,averages,STRONG,0.4741,,True,2026-07-19,1,75,125,0.0,0.0,0,False,
4,everypointcounts,travel,Travel,PREDICT,yes,small,cohort_2,inactive,False,48,48,40,2026-05-09,2026-05-29,4,8,6,1.596,0.636,2.508,averages,STRONG,0.414,,True,2026-07-19,1,29,30,0.0,0.0,0,False,
5,lorainetheprairiedog,pets,Pets/Animals,PREDICT,yes,mid,cohort_1,inactive,False,64,64,40,2026-04-30,2026-05-19,4,8,7,1.126,0.603,1.867,averages,STRONG,0.3467,,True,2026-07-18,2,31,68,0.0,0.0,0,False,
6,jordynwoodruff,beauty,Makeup/Beauty,PREDICT,yes,mid,cohort_2,inactive,False,37,37,37,2026-05-01,2026-05-29,4,8,8,1.522,0.33,4.616,averages,STRONG,0.6074,,True,2026-07-20,0,40,53,0.0,0.3,0,False,
7,blakeoftoday,storytelling,Storytelling,PREDICT,yes,mid,cohort_1,inactive,False,33,33,33,2026-04-19,2026-05-26,4,8,7,1.193,0.756,1.578,calls,STRONG,0.2814,,True,2026-07-19,1,18,22,0.0,0.7,0,False,
8,moneycoachdave,finance,Business/Finance,PREDICT,yes,mid,cohort_1,inactive,False,32,32,32,2026-04-19,2026-05-25,4,8,6,1.865,0.811,2.301,averages,STRONG,0.5663,,True,2026-07-19,1,25,28,0.0,0.8,0,False,
9,vinyasawithval,fitness,Fitness/Wellness,PREDICT,yes,small,cohort_1,inactive,False,31,31,31,2026-04-18,2026-05-20,4,8,6,1.458,0.699,2.087,averages,STRONG,0.6173,,True,2026-07-19,1,28,30,0.0,0.9,0,False,
10,mysistersskin,beauty,Makeup/Beauty,PREDICT,yes,mid,cohort_1,inactive,False,31,31,31,2026-04-19,2026-05-29,4,8,7,2.0,0.711,2.814,averages,STRONG,0.579,,True,2026-07-19,1,19,26,0.0,0.9,0,False,
11,lexnicoleta,aesthetic,Aesthetic/Vibes,PREDICT,yes,mid,cohort_2,inactive,False,29,29,29,2026-05-19,2026-06-07,4,8,7,1.725,0.721,2.392,averages,STRONG,0.5394,,True,2026-07-19,1,7,43,0.0,0.7,4,False,
12,undine_makeupartist,beauty,Makeup/Beauty,PREDICT,yes,small,cohort_2,inactive,False,27,27,27,2026-05-01,2026-05-29,4,8,7,1.378,0.995,1.385,calls,STRONG,0.4432,,True,2026-07-18,2,16,18,0.0,1.3,0,False,
13,samantha.janessa,shopping,Shopping,PREDICT,yes,mid,cohort_2,inactive,False,25,25,25,2026-05-07,2026-06-07,4,8,8,1.535,0.853,1.8,averages,STRONG,0.1962,,True,2026-07-16,4,1,25,0.0,0.1,14,False,
14,andysautoadvice,automotive,Cars/Automotive,PREDICT,yes,mid,cohort_1,inactive,False,24,24,24,2026-04-20,2026-06-06,4,8,6,1.432,0.926,1.547,averages,STRONG,0.5913,,True,2026-07-19,1,2,25,0.0,0.2,14,False,
15,dr.starkid,myth_busting,Myth Busting,PREDICT,yes,mid,cohort_2,inactive,False,23,23,23,2026-05-13,2026-06-07,4,8,7,1.357,0.836,1.624,averages,STRONG,0.5682,,True,2026-07-19,1,4,33,0.0,0.4,13,False,
16,alvathehotdog,pets,Pets/Animals,PREDICT,yes,mid,cohort_2,inactive,False,22,22,22,2026-05-01,2026-05-29,4,8,7,1.479,0.712,2.077,averages,STRONG,0.5313,,True,2026-07-19,1,12,21,0.0,1.2,6,False,
17,raimeetravel,travel,Travel,PREDICT,yes,mid,cohort_1,inactive,False,21,21,21,2026-04-22,2026-06-02,4,8,6,3.471,0.681,5.094,averages,STRONG,0.5273,,True,2026-07-16,4,0,2,0.0,0.0,19,False,
18,bghost23,gaming,Gaming,PROVISIONAL,yes,mid,cohort_2,inactive,False,21,21,21,2026-05-03,2026-06-07,4,8,7,1.512,0.919,1.645,averages,STRONG,0.3455,,True,2026-07-18,2,9,19,0.0,0.9,10,False,
19,thatblackchemist,myth_busting,Myth Busting,PREDICT,yes,small,cohort_2,inactive,False,20,20,20,2026-05-25,2026-05-31,4,8,7,1.867,0.9,2.074,averages,STRONG,0.7023,,True,2026-07-19,1,52,85,0.0,2.0,0,False,
20,oklaurizzle,fashion,Fashion,PREDICT,yes,mid,cohort_2,inactive,False,20,20,20,2026-05-06,2026-06-06,4,8,8,2.18,0.51,4.273,averages,STRONG,0.7008,,True,2026-07-16,4,12,13,0.0,1.2,8,False,
21,bynicolemv,beauty,Makeup/Beauty,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-20,2026-06-02,4,8,7,1.303,0.632,2.06,averages,STRONG,0.6962,,True,2026-07-17,3,11,14,0.0,1.1,9,False,
22,smobyday,finance,Business/Finance,PREDICT,yes,mid,cohort_3,enrolled,False,20,20,20,2026-04-27,2026-05-11,4,8,6,2.73,0.673,4.053,averages,STRONG,0.6887,,True,2026-07-19,1,28,36,0.0,2.0,0,False,
23,emmieedit,finance,Business/Finance,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-18,2026-05-09,4,8,7,1.904,0.629,3.029,averages,STRONG,0.6511,,True,2026-07-19,1,28,23,0.0,2.0,0,False,
24,roganplaysgames,gaming,Gaming,PROVISIONAL,yes,mid,cohort_2,inactive,False,20,20,20,2026-05-07,2026-05-29,4,8,7,1.484,0.557,2.665,averages,STRONG,0.6195,,True,2026-07-18,2,23,23,0.0,2.0,0,False,
25,athomewithashley,aesthetic,Aesthetic/Vibes,PREDICT,yes,mid,cohort_2,inactive,False,20,20,20,2026-05-03,2026-05-30,4,8,6,1.52,0.777,1.956,averages,STRONG,0.5504,,True,2026-07-19,1,21,19,0.0,2.0,0,False,
26,cleanwithgeorgiia,life_hacks,Life Hacks,PREDICT,yes,mid,cohort_1,inactive,False,20,20,20,2026-04-20,2026-05-30,4,8,6,1.826,0.788,2.316,averages,STRONG,0.5263,,,,,,,,,,,
27,anatalksmoney,finance,Business/Finance,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-20,2026-05-19,4,8,5,1.121,0.462,2.427,averages,STRONG,0.5128,,,,,,,,,,,
28,budgeters_anonymous,finance,Business/Finance,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-20,2026-05-13,4,8,7,1.399,0.83,1.686,averages,STRONG,0.4812,,,,,,,,,,,
29,thelisamays,travel,Travel,PREDICT,yes,small,cohort_4,enrolled,False,20,20,20,2026-05-11,2026-05-30,4,8,6,1.6,0.773,2.07,averages,STRONG,0.4737,,,,,,,,,,,
30,honeygarlicfishbones,gaming,Gaming,PROVISIONAL,yes,small,cohort_4,enrolled,False,20,20,20,2026-04-17,2026-05-22,4,8,8,1.418,0.589,2.409,averages,STRONG,0.4722,,,,,,,,,,,
31,earthtoclemi,aesthetic,Aesthetic/Vibes,PREDICT,yes,small,cohort_2,inactive,False,20,20,20,2026-05-17,2026-06-01,4,8,6,1.808,0.62,2.918,averages,STRONG,0.4647,,,,,,,,,,,
32,andrewcgrant,fun_facts,Fun Facts,PREDICT,yes,small,cohort_2,inactive,False,20,20,20,2026-05-11,2026-05-30,4,8,7,1.147,0.563,2.035,averages,STRONG,0.4541,,,,,,,,,,,
33,apetrovs,finance,Business/Finance,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-05-05,2026-06-05,4,8,6,2.313,0.824,2.805,averages,STRONG,0.418,,,,,,,,,,,
34,drshaadimanouchehri,myth_busting,Myth Busting,PREDICT,yes,mid,cohort_2,inactive,False,20,20,20,2026-05-02,2026-05-30,4,8,7,1.854,1.049,1.767,averages,STRONG,0.3955,,,,,,,,,,,
35,glownastzy,beauty,Makeup/Beauty,PREDICT,yes,small,cohort_3,enrolled,False,20,20,20,2026-04-09,2026-06-04,4,8,4,1.573,1.041,1.511,averages,STRONG,0.3639,,,,,,,,,,,
